# model w_normal_1 w_normal_2
2.445895925534684878e-01 5.082686287895568818e-03 2.392930795419050405e-01
2.500207642079966264e-01 4.692323099625217778e-03 2.450097481214280615e-01
2.550635623458030743e-01 4.325421691421682362e-03 2.502218827985753791e-01
2.598532446287963316e-01 3.983718313942574002e-03 2.550937130798591190e-01
2.641662771014448019e-01 3.665027068009361119e-03 2.597002764710146794e-01
2.681608230780467839e-01 3.368171112363186996e-03 2.640391033868099147e-01
2.715442196744948244e-01 3.092000126390310674e-03 2.678681511025040596e-01
2.747125278390560865e-01 2.840068312682706396e-03 2.712497809138773586e-01
2.770837220894831199e-01 2.609101120965700085e-03 2.739317585471653937e-01
2.791349947050569824e-01 2.394441792997106105e-03 2.763828061471943487e-01
2.805810832295934087e-01 2.195173769668289088e-03 2.784061701938796429e-01
2.818696579134809532e-01 2.006471132653179362e-03 2.796729512231354020e-01
2.825298021352617983e-01 1.829445596887107738e-03 2.803300773532841350e-01
2.826682254148232265e-01 1.666217742897019077e-03 2.806137002520603385e-01
2.822352355586425499e-01 1.515896962271845406e-03 2.802926449511072837e-01
2.812618685085903070e-01 1.385078074240894555e-03 2.795582651760110671e-01
2.800354005343914654e-01 1.265449506826090515e-03 2.783391323375646875e-01
2.780018458361398492e-01 1.154404788358703773e-03 2.763856779502266714e-01
2.754718331063502057e-01 1.046512155810362318e-03 2.741127765081131096e-01
2.722735755582275097e-01 9.476757433782529794e-04 2.712725845519419199e-01
2.688615695739423606e-01 8.598102731812884859e-04 2.677083668949740147e-01
2.648313808482917753e-01 7.806977146018203272e-04 2.638466853035086324e-01
2.604421941266777951e-01 7.081628864094188748e-04 2.596067977163319940e-01
2.557707597009031830e-01 6.417315523090231545e-04 2.549805740358739303e-01
2.505177266835561523e-01 5.793576659558045700e-04 2.498431449240079705e-01
2.447810667171149146e-01 5.215199643484901872e-04 2.442768998417426118e-01
2.389449179271389556e-01 4.689554312887479997e-04 2.383072415797385379e-01
2.327572828999802113e-01 4.212390775518194143e-04 2.321936352779640778e-01
2.262890191418040764e-01 3.779742267820504920e-04 2.256801929063985690e-01
2.196314543113379869e-01 3.388310818466014861e-04 2.191069047569906281e-01
2.126878747425385574e-01 3.045067414514186148e-04 2.123520576090249801e-01
2.056672379277822427e-01 2.729250476720363828e-04 2.052400978417484034e-01
1.983891587583815896e-01 2.439566883332131887e-04 1.979637602617805026e-01
1.909248384830593837e-01 2.178300079694942524e-04 1.905824971923153199e-01
1.835206391809185988e-01 1.942935256965762543e-04 1.831774198988734281e-01
1.760829350558038853e-01 1.731149579677467780e-04 1.757826174737787683e-01
1.684268127978237051e-01 1.545370341039170657e-04 1.682492117812167953e-01
1.609746620370888504e-01 1.379134487609517718e-04 1.606953096126118585e-01
1.533334342657846350e-01 1.226924674410730554e-04 1.532120278566751204e-01
1.460201869647116957e-01 1.087650375847218673e-04 1.458350767363939815e-01
1.387685167612312254e-01 9.644271962574305144e-05 1.385455047476888135e-01
1.315730010898722435e-01 8.542418973547604268e-05 1.313811463386310996e-01
1.244262863190345458e-01 7.568639226676240059e-05 1.242087723453226822e-01
1.176166817601813075e-01 6.698881066480266396e-05 1.173483838803954932e-01
1.107825972785242696e-01 5.903719436194297351e-05 1.105608001008509950e-01
1.041199223140092528e-01 5.202630063349668690e-05 1.040101707248592411e-01
9.770275888780405316e-02 4.594496906452857920e-05 9.767119770583608529e-02
9.170890955540318690e-02 4.053440711381640856e-05 9.169119323010793687e-02
8.577054524426598603e-02 3.572430824873570546e-05 8.576454664551134977e-02
8.016923347629245633e-02 3.150574259913901823e-05 8.011154978147219663e-02
7.457985838521676014e-02 2.768370806784235425e-05 7.455219494054053653e-02
6.929710969588596947e-02 2.430573086789418846e-05 6.927723043927788704e-02
6.441801884586143001e-02 2.133365428130346654e-05 6.436521778814485728e-02
5.970893782138040479e-02 1.870578603664984312e-05 5.959531891013414989e-02
5.515876411307130828e-02 1.638478749958537250e-05 5.515460596505071533e-02
5.098623852884148072e-02 1.433705018184408267e-05 5.090560970734359786e-02
4.687979826740447387e-02 1.253236222157079997e-05 4.684177478666835814e-02
4.309244291966082829e-02 1.093842006919814813e-05 4.305092458058805416e-02
3.955142448945502681e-02 9.541653915609566691e-06 3.951525049343906221e-02
3.621586027482193160e-02 8.319116130661952398e-06 3.620680388452264531e-02
3.309397529458507625e-02 7.242139491157748746e-06 3.309279635766963074e-02
3.017606023381482969e-02 6.298117017886553067e-06 3.015948559827847861e-02
2.746209779821420088e-02 5.471529017194564905e-06 2.744986051050363196e-02
2.497609619349464016e-02 4.748547966948414401e-06 2.497417057251895625e-02
2.266465044769210360e-02 4.114020022113395599e-06 2.266085621849456277e-02
2.054265095865914770e-02 3.552233302872692063e-06 2.054019933122683619e-02
1.857236141374505115e-02 3.063899085747653929e-06 1.855962059720704660e-02
1.677205073651116818e-02 2.646051964614838543e-06 1.676853367805927059e-02
1.511230294047152985e-02 2.282059360630626719e-06 1.510032058786173366e-02
1.357567250247198286e-02 1.963736818677237019e-06 1.357267771954641725e-02
1.217076928750625460e-02 1.688029459239621814e-06 1.217001528834724643e-02
1.090506918055558598e-02 1.451248936167077706e-06 1.090442780715695364e-02
9.733189748734610500e-03 1.247087778195029354e-06 9.726458936727329710e-03
8.683681986131192715e-03 1.070539918802399098e-06 8.682477954859199598e-03
7.720570526869771286e-03 9.180354325961149281e-07 7.719537634603178440e-03
6.863357526766669832e-03 7.864421023769708964e-07 6.863002714988173693e-03
6.083629698794393997e-03 6.730150899659792961e-07 6.083559659094637043e-03
5.378450944132166442e-03 5.753519410327066688e-07 5.378392585853462166e-03
4.745763243841439293e-03 4.913524181687043452e-07 4.744647692085959996e-03
4.179878742208914706e-03 4.191826967851513253e-07 4.179867959357964902e-03
