w	mu_1	sigma_1	mu_2	sigma_2	logPrior	logL
1.79858456689635459735e-01	2.42158165068384834129e+00	4.15886832480069301710e-01	5.50549195215063669195e+00	6.38840841657086766503e-02	0.00000000000000000000e+00	-1.68890165912472730270e+04
9.18967617336459291488e-02	-1.74367675161544144480e+00	2.73308641383546824244e-01	-9.46579827257062356161e-01	7.87759203243943773032e-01	0.00000000000000000000e+00	-1.54144202897116956592e+04
9.43607703083982896075e-01	4.96128910021123470386e+00	4.40992218564595306329e-01	6.02965216613458743211e+00	9.09765864684998870615e-01	0.00000000000000000000e+00	-1.53594352422390766151e+04
9.18967617336459291488e-02	-1.74367675161544144480e+00	2.73308641383546824244e-01	-9.46579827257062356161e-01	7.87759203243943773032e-01	0.00000000000000000000e+00	-1.54144202897116956592e+04
8.45461115060514134534e-01	-3.93909440170705904549e+00	5.96450979841130379810e-01	5.25134165971396260630e+00	4.78051589121272824112e-01	0.00000000000000000000e+00	-1.49959920797543600202e+04
2.13437357216126277759e-01	3.92522712643041904457e+00	5.67576161745926177638e-01	5.12993775814149977066e+00	4.87944836586131636125e-02	0.00000000000000000000e+00	-1.46428599411710656568e+04
8.45461115060514134534e-01	-3.93909440170705904549e+00	5.96450979841130379810e-01	5.25134165971396260630e+00	4.78051589121272824112e-01	0.00000000000000000000e+00	-1.49959920797543600202e+04
1.60979874617081158972e-01	-2.90944087940192375186e+00	1.34355757478086434986e+00	-2.61376073821732690661e+00	1.59741863118867954974e-01	0.00000000000000000000e+00	-1.30604574636471861595e+04
9.42760853055783387688e-01	-3.45995595981508774486e+00	1.31915495362532464441e+00	-1.05959636498330778132e+00	3.66640968112929621636e-01	0.00000000000000000000e+00	-1.30555415401687587291e+04
1.60979874617081158972e-01	-2.90944087940192375186e+00	1.34355757478086434986e+00	-2.61376073821732690661e+00	1.59741863118867954974e-01	0.00000000000000000000e+00	-1.30604574636471861595e+04
5.31472368825552821114e-01	4.97180950096105434000e+00	4.68075359507399146874e-01	5.13520205260639439615e+00	7.53684820281245171358e-01	0.00000000000000000000e+00	-1.29889475996381879668e+04
5.69874387050902431184e-01	4.67182722266757899376e+00	6.99768330334507471235e-01	6.63994741196881932410e+00	4.96308926482180792772e-02	0.00000000000000000000e+00	-1.20629288132190813485e+04
5.31472368825552821114e-01	4.97180950096105434000e+00	4.68075359507399146874e-01	5.13520205260639439615e+00	7.53684820281245171358e-01	0.00000000000000000000e+00	-1.29889475996381879668e+04
2.60166642076089804636e-01	1.15180898168645762247e+00	2.62692034703472902801e-02	6.24309286427489062987e+00	9.64412559885682529881e-01	0.00000000000000000000e+00	-1.13911445817834537593e+04
8.43220241294956429634e-01	2.16213684480074475047e+00	4.00171689153391740845e-01	2.76674227568632513652e+00	4.84290996491659631040e-01	0.00000000000000000000e+00	-1.04695874220020468783e+04
2.60166642076089804636e-01	1.15180898168645762247e+00	2.62692034703472902801e-02	6.24309286427489062987e+00	9.64412559885682529881e-01	0.00000000000000000000e+00	-1.13911445817834537593e+04
6.96449790677328373079e-01	-2.12046869302594798157e+00	1.04262013379863294205e+00	2.04313690608078513122e+00	2.68408630291048888594e-01	0.00000000000000000000e+00	-1.00386289208372509165e+04
6.89506271182092622674e-01	-3.70716058590369623715e+00	1.17029305591745025339e+00	-2.98186118338578332043e+00	1.41797941712371322609e+00	0.00000000000000000000e+00	-9.81695257671251420106e+03
6.96449790677328373079e-01	-2.12046869302594798157e+00	1.04262013379863294205e+00	2.04313690608078513122e+00	2.68408630291048888594e-01	0.00000000000000000000e+00	-1.00386289208372509165e+04
7.00028673114857946658e-01	-3.84400649143260819685e+00	1.56338033606015547328e+00	3.70217847080988649022e-01	1.59731294375144883269e-01	0.00000000000000000000e+00	-9.31238401575044372294e+03
1.67111302529779681691e-01	-2.47398817739417742345e+00	1.33388126771311887886e+00	6.64988172196328797270e+00	3.49289193554092436411e-01	0.00000000000000000000e+00	-9.13798439621557008650e+03
7.00028673114857946658e-01	-3.84400649143260819685e+00	1.56338033606015547328e+00	3.70217847080988649022e-01	1.59731294375144883269e-01	0.00000000000000000000e+00	-9.31238401575044372294e+03
9.02135080965526414687e-01	-3.44633205087439087322e+00	4.50749187787406302430e-01	6.00894931820576161385e+00	9.49524449048900320847e-01	0.00000000000000000000e+00	-8.63586206575976393651e+03
4.13414513220499268975e-01	-8.48626103923197816492e-01	9.40437267109107910557e-01	2.65522859842382485951e+00	6.75399132711267946583e-02	0.00000000000000000000e+00	-8.21822815108088616398e+03
1.71485767246913334283e-01	-8.91343612335520285583e-01	4.89422908644163934255e-01	6.50927751938906506979e+00	6.62425736670380960192e-01	0.00000000000000000000e+00	-8.11409315221093947912e+03
3.30472687241010087966e-01	-3.56748424835164135160e+00	1.24822881281026853983e+00	-1.45161829458335778220e+00	1.09264958029413294938e+00	0.00000000000000000000e+00	-7.87129675029775717121e+03
8.50149189929257143028e-01	-2.32739987138760362484e+00	1.08313238506705888931e+00	4.10517644804390124946e-01	7.46510023914899845110e-01	0.00000000000000000000e+00	-7.70664723577866243431e+03
3.30472687241010087966e-01	-3.56748424835164135160e+00	1.24822881281026853983e+00	-1.45161829458335778220e+00	1.09264958029413294938e+00	0.00000000000000000000e+00	-7.87129675029775717121e+03
8.68520784672662249370e-01	-2.21387393185950376306e+00	7.43254618914366504967e-01	6.80798630789501313387e-01	6.97473185084009017487e-01	0.00000000000000000000e+00	-7.65603854310942551820e+03
1.88420799589474163849e-01	2.18772903330180179537e+00	5.41943934627207246635e-01	3.23095250205468298432e+00	6.07300179033487819158e-02	0.00000000000000000000e+00	-7.54054761658600182272e+03
8.68520784672662249370e-01	-2.21387393185950376306e+00	7.43254618914366504967e-01	6.80798630789501313387e-01	6.97473185084009017487e-01	0.00000000000000000000e+00	-7.65603854310942551820e+03
