# model w_normal_1 w_normal_2
7.453139587101470509e-02 6.766176886702508775e-02 6.688799269973834567e-03
7.394478797389064662e-02 6.622906797034053272e-02 7.530191427045676913e-03
7.344416429867353657e-02 6.476128583436699393e-02 8.461134008718920047e-03
7.303988289021498548e-02 6.332223959268770686e-02 9.488899209856830122e-03
7.273725538499976884e-02 6.179548531081628659e-02 1.061525813644089572e-02
7.254283413414529258e-02 6.040850837378591159e-02 1.184528589924230095e-02
7.242118005489681098e-02 5.883807018734663052e-02 1.317890426416837117e-02
7.241143511254399812e-02 5.726695942778567416e-02 1.466579332779291596e-02
7.255555337778195335e-02 5.574110195901575693e-02 1.627236158219467002e-02
7.271951489695968607e-02 5.415184922949561885e-02 1.802072629938624576e-02
7.317672680508634231e-02 5.262935760821963599e-02 1.991975357713182335e-02
7.364890337531218578e-02 5.105899953288414728e-02 2.197585280404263167e-02
7.443074394373586089e-02 4.949780124497640127e-02 2.419900335321644586e-02
7.529030186844525019e-02 4.795589362436925018e-02 2.659658649264269939e-02
7.624226223804708713e-02 4.640631306686089641e-02 2.924529089506810314e-02
7.759666687955851794e-02 4.483752771421357919e-02 3.209648366943983200e-02
7.907509504241973242e-02 4.331846842167624834e-02 3.509658990673741874e-02
8.077335791291034850e-02 4.179442927383068135e-02 3.834992246714987590e-02
8.287911388006244384e-02 4.032761270591914138e-02 4.176593832184514327e-02
8.512304801232233042e-02 3.892570892846692471e-02 4.540262254557327765e-02
8.763724756165520990e-02 3.747476365828574657e-02 4.927068349673514175e-02
9.041876497093678799e-02 3.604574331725730191e-02 5.340829884791654242e-02
